=== Using options:--aggressive-branch-removal
subject.exe: warning: Win32 X86-64 main procedure finder not implemented yet.
MSVC RTTI scan found 151 complete object locators
000000014007755A: warning: Unable to resolve imported reference SHLWAPI.dll!PathCombineW.
0000000140077674: warning: Unable to resolve imported reference SHLWAPI.dll!PathStripPathW.
00000001400BE75B: warning: Unable to resolve imported reference SHLWAPI.dll!StrRetToBufW.
00000001400BE6C1: warning: Unable to resolve imported reference SHELL32.dll!SHGetDesktopFolder.
000000014007F6B4: warning: Unable to resolve imported reference SHELL32.dll!SHGetDesktopFolder.
000000014007F6D8: warning: Unable to resolve imported reference SHELL32.dll!SHGetDesktopFolder.
00000001400BDED4: warning: Unable to resolve imported reference USER32.dll!GetWindowLongPtrW.
00000001400BC2D3: warning: Unable to resolve imported reference SHLWAPI.dll!PathStripPathW.
00000001400BB607: warning: Unable to resolve imported reference SHLWAPI.dll!PathRemoveExtensionW.
00000001400BB61C: warning: Unable to resolve imported reference SHLWAPI.dll!PathFindExtensionW.
00000001400BB61C: warning: Unable to resolve imported reference SHLWAPI.dll!PathFindExtensionW.
00000001400BBD78: warning: Unable to resolve imported reference SHLWAPI.dll!PathStripPathW.
00000001400BBE78: warning: Unable to resolve imported reference SHLWAPI.dll!PathRemoveFileSpecW.
00000001400BB079: warning: Unable to resolve imported reference USER32.dll!SetClassLongPtrW.
00000001400BB0F2: warning: Unable to resolve imported reference USER32.dll!SetWindowLongPtrW.
00000001400BB105: warning: Unable to resolve imported reference UxTheme.dll!SetWindowTheme.
00000001400BB129: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_71.
00000001400BB129: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_71.
00000001400BB2E9: warning: Unable to resolve imported reference SHLWAPI.dll!PathStripPathW.
00000001400B9E1B: warning: Unable to resolve imported reference USER32.dll!SetClassLongPtrW.
0000000140015A87: warning: Unable to resolve imported reference SHLWAPI.dll!StrCmpLogicalW.
00000001400BA33D: warning: Unable to resolve imported reference SHLWAPI.dll!PathCombineW.
00000001400BA371: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_71.
00000001400BA371: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_71.
00000001400BA39C: warning: Unable to resolve imported reference UxTheme.dll!SetWindowTheme.
00000001400B9176: warning: Unable to resolve imported reference SHLWAPI.dll!StrCmpLogicalW.
00000001400B7E4F: warning: Unable to resolve imported reference SHLWAPI.dll!PathIsRootW.
00000001400B7C71: warning: Unable to resolve imported reference gdiplus.dll!GdipGetImageHorizontalResolution.
00000001400B7CCF: warning: Unable to resolve imported reference gdiplus.dll!GdipGetImageVerticalResolution.
0000000140017C1A: warning: Unable to resolve imported reference gdiplus.dll!GdipGetImageWidth.
